iter	Accuracy	Logloss
0	0.9259204968	0.226510299111	0.9373808984	0.159178883422	0.9328367159	0.2007655333	3	0.9411255181	0.1479950554	4	0.9256806279	0.2271587635	5	0.9373542463	0.159456742666	0.9329033462	0.2008645877	7	0.941098866	0.148634778888	0.9259204968	0.226510299999	0.9373808984	0.1591788831110	0.9328367159	0.2007655311111	0.9411255181	0.1479950512112	0.9256806279	0.2271587613113	0.9373542463	0.1594567411414	0.9329033462	0.2008645815	15	0.941098866	0.1486347781616	0.9259204968	0.2265102911717	0.9373808984	0.1591788811818	0.9328367159	0.2007655191919	0.9411255181	0.1479950202020	0.9256806279	0.2271587212121	0.9373542463	0.1594567222	22	0.9329033462	0.200864523	023	0.941098866	0.1486347724	24	0.9373808984	0.1593417425	25	0.9426846657	0.145519826	026	0.941098866	0.1478637927	27	0.9510534241	0.127636552828	0.9373275942	0.1593788122929	0.9423648406	0.1460598133030	0.9407923668	0.1484890313131	0.948827974	0.131697663232	0.9373808984	0.1593417423333	0.9426846657	0.1455198134334	0.941098866	0.1478637943535	0.9510534241	0.127636553336	0.9373275942	0.1593788183737	0.9423648406	0.1460598163838	0.9407923668	0.1484890239	39	0.948827974	0.131697665440	0.9373808984	0.1593417425441	0.9426846657	0.1455198154242	0.941098866	0.1478637946443	0.9510534241	0.127636553
44	0.9373275942	0.1593788188445	0.9423648406	0.1460598161446	0.9407923668	0.1484890224747	0.948827974	0.131697665
48	0.9238682853	0.2281720454
49	0.9373409203	0.159609666
50	0.9325302168	0.2022791804
51	0.9405924761	0.1490486818
52	0.9241481324	0.2280628476
53	0.9375807892	0.1595327965
54	0.9324902387	0.2028085589
55	0.9406857585	0.149383827
56	0.9238682853	0.2281720454
57	0.9373409203	0.159609666
58	0.9325302168	0.2022791804
59	0.9405924761	0.1490486818
60	0.9241481324	0.2280628476
61	0.9375807892	0.1595327965
62	0.9324902387	0.2028085589
63	0.9406857585	0.149383827
64	0.9238682853	0.2281720454
65	0.9373409203	0.159609666
66	0.9325302168	0.2022791804
67	0.9405924761	0.1490486818
68	0.9241481324	0.2280628476
69	0.9375807892	0.1595327965
70	0.9324902387	0.2028085589
71	0.9406857585	0.149383827
72	0.936994443	0.1596252094
73	0.9424714489	0.1460181769
74	0.9404592156	0.1489449078
75	0.9500939486	0.1288560181
76	0.9372343119	0.159502209
77	0.9424714489	0.1462796578
78	0.940565824	0.1491941542
79	0.9488679522	0.1323470126
80	0.936994443	0.1596252094
81	0.9424714489	0.1460181769
82	0.9404592156	0.1489449078
83	0.9500939486	0.1288560181
84	0.9372343119	0.159502209
85	0.9424714489	0.1462796578
86	0.940565824	0.1491941542
87	0.9488679522	0.1323470126
88	0.936994443	0.1596252094
89	0.9424714489	0.1460181769
90	0.9404592156	0.1489449078
91	0.9500939486	0.1288560181
92	0.9372343119	0.159502209
93	0.9424714489	0.1462796578
94	0.940565824	0.1491941542
95	0.9488679522	0.1323470126
96	0.9249610213	0.2295359447
97	0.9370610733	0.1597219211
98	0.9319038925	0.2048988094
99	0.9400727602	0.1504764037
100	0.9239748937	0.2292713792
101	0.9373675724	0.1602657412
102	0.9313575246	0.205889571
103	0.9402060207	0.1506931008
104	0.9249610213	0.2295359447
105	0.9370610733	0.1597219211
106	0.9319038925	0.2048988094
107	0.9400727602	0.1504764037
108	0.9239748937	0.2292713792
109	0.9373675724	0.1602657412
110	0.9313575246	0.205889571
111	0.9402060207	0.1506931008
112	0.9249610213	0.2295359447
113	0.9370610733	0.1597219211
