iter	Passed	Remaining
0	12516	5394571
1	24996	5374332
2	40501	5791782
3	55979	5989813
4	68487	5848800
5	81130	5760283
6	96888	5882496
7	112482	5961584
8	125280	5888181
9	138068	5826487
10	153651	5880653
11	169736	5940794
12	182892	5894760
13	195907	5849226
14	212086	5895999
15	228728	5946936
16	241760	5901796
17	254826	5861010
18	271043	5891634
19	287437	5921218
20	300677	5884691
21	314032	5852417
22	330299	5873583
23	346430	5889322
24	418929	6820179
25	496428	7751927
26	593468	8902025
27	692162	9986916
28	764319	10621404
29	838603	11237286
30	934310	12085753
31	1032141	12901771
32	1103725	13345047
33	1178513	13795540
34	1274152	14452528
35	1369902	15068925
36	1439876	15371658
37	1511824	15675236
38	1605205	16175536
39	1699583	16655913
40	1768986	16870090
41	1840935	17094403
42	1935387	17508506
43	2030099	17901788
44	2099444	18055226
45	2170988	18217421
46	2264036	18545833
47	2358411	18867292
48	2373387	18551172
49	2388148	18245457
50	2405478	17970338
51	2422838	17705360
52	2438082	17434590
53	2453433	17174033
54	2470933	16937126
55	2488492	16708449
56	2503833	16472591
57	2518836	16242152
58	2536408	16035258
59	2554019	15834918
60	2569496	15627590
61	2584854	15425745
62	2602547	15243492
63	2620273	15066574
64	2635790	14882078
65	2650966	14700813
66	2668750	14538714
67	2686475	14380546
68	2702024	14214997
69	2717454	14053121
70	2735215	13907222
71	2752865	13764326
72	2824657	13891123
73	2898131	14020687
74	2995123	14256788
75	3091965	14483418
76	3164286	14588595
77	3236818	14690177
78	3332495	14890771
79	3427754	15082118
80	3499107	15162798
81	3572348	15247828
82	3668600	15425803
83	3764140	15594294
84	3836326	15661237
85	3909691	15729689
86	4005588	15884229
87	4101328	16032466
88	4172814	16081746
89	4245959	16134644
90	4341348	16268130
91	4436886	16397187
92	4509530	16437964
93	4582774	16478488
94	4680156	16602240
95	4789819	16764366
96	4808981	16608338
97	4828329	16455736
98	4848639	16309058
99	4868674	16163997
100	4888296	16020062
101	4907403	15876893
102	4927540	15739425
103	4947701	15604289
104	4967030	15468753
105	4985898	15333989
106	5006189	15205715
107	5026309	15078928
108	5045489	14951312
109	5064447	14825018
110	5084709	14704431
111	5104995	14585700
112	5124376	14466161
113	5143629	14348018
114	5164001	14234682
115	5184277	14122688
116	5203364	14009057
