iter	Passed	Remaining
0	54	27297
1	88	22138
2	129	21505
3	176	21917
4	214	21211
5	273	22478
6	312	21974
7	345	21248
8	381	20839
9	418	20524
10	454	20183
11	497	20221
12	542	20338
13	581	20170
14	619	20037
15	671	20318
16	708	20124
17	752	20144
18	795	20138
19	831	19965
20	875	19969
21	920	20001
22	965	20028
23	1015	20133
24	1057	20087
25	1095	19967
26	1132	19848
27	1191	20089
28	1228	19955
29	1282	20094
30	1323	20024
31	1360	19900
32	1407	19915
33	1451	19894
34	1502	19962
35	1543	19896
36	1581	19795
37	1620	19696
38	1673	19782
39	1711	19680
40	1753	19631
41	1790	19526
42	1828	19435
43	1875	19439
44	1922	19441
45	1966	19406
46	2004	19320
47	2046	19268
48	2087	19215
49	2146	19316
50	2181	19207
51	2219	19124
52	2256	19028
53	2291	18924
54	2325	18819
55	2363	18739
56	2400	18658
57	2454	18707
58	2490	18613
59	2529	18547
60	2577	18547
61	2615	18476
62	2649	18375
63	2685	18291
64	2724	18230
65	2761	18156
66	2798	18084
67	2835	18014
68	2871	17936
69	2907	17860
70	2943	17786
71	2987	17761
72	3054	17867
73	3095	17820
74	3131	17744
75	3169	17681
76	3215	17662
77	3254	17610
78	3294	17556
79	3343	17552
80	3387	17523
81	3425	17459
82	3460	17388
83	3509	17382
84	3556	17363
85	3598	17322
86	3634	17251
87	3670	17184
88	3710	17134
89	3756	17111
90	3801	17087
91	3850	17077
92	3897	17057
93	3936	17003
94	3976	16953
95	4013	16890
96	4051	16834
97	4120	16901
98	4153	16825
99	4196	16787
100	4254	16805
101	4292	16747
102	4329	16686
103	4364	16616
104	4400	16554
105	4436	16490
106	4480	16456
107	4524	16422
108	4578	16424
109	4617	16371
110	4664	16346
111	4702	16291
112	4742	16240
113	4789	16218
114	4825	16153
115	4861	16094
116	4905	16059
117	4949	16022
118	5001	16011
119	5069	16052
120	5106	15995
121	5153	15968
122	5196	15927
123	5245	15905
124	5290	15872
125	5335	15837
126	5371	15774
127	5414	15734
128	5460	15704
129	5509	15680
130	5546	15624
131	5599	15609
132	5644	15574
133	5708	15590
